,Name,Aggregate Rating,Type,Price,Latitude,Longitude,Sensor ID,Sensor
110,Cecconi's Flinders Lane Restaurant,4.4,"European, Italian",4,-37.8149302247,144.972592257,34,Flinders St-Spark La
112,Great Space Cafe,3.6,"Coffee and Tea, Cafe Food",3,-37.8144706798,144.9729292095,34,Flinders St-Spark La
113,Roll'd - Collins Place,3.3,"Vietnamese, Healthy Food",2,-37.8143800948,144.9729463086,34,Flinders St-Spark La
114,Sofi's Lounge,3.6,"Desserts, Coffee and Tea",4,-37.8142542821,144.9729479849,34,Flinders St-Spark La
115,Nashi,3.2,"Coffee and Tea, Healthy Food, Salad, Sandwich",2,-37.8143366563,144.9728306383,34,Flinders St-Spark La
116,O-Bento,3.0,"Japanese, Sushi",2,-37.814276796,144.9729100987,34,Flinders St-Spark La
118,Schnitz,3.6,"Sandwich, Fast Food",2,-37.8144174412,144.9726418778,34,Flinders St-Spark La
119,5 & Dime Bagels,3.7,"Bakery, Coffee and Tea",2,-37.8143236778,144.9726995453,34,Flinders St-Spark La
120,Il Gambero,4.2,"Italian, Pizza, Seafood",4,-37.8032910709,144.9666642398,37,Lygon St (East)
121,Amos ,0.0,Greek,4,-37.8030009957,144.9669482186,37,Lygon St (East)
122,Vodka Temple,0.0,Bar Food,3,-37.8034441877,144.9666417763,37,Lygon St (East)
123,El Giza Bar & Lounge,0.0,Bar Food,3,-37.8035602173,144.9665921554,37,Lygon St (East)
124,Assembly,4.0,Coffee and Tea,1,-37.802768405,144.9672808126,37,Lygon St (East)
125,Parco,3.9,"Cafe Food, Coffee and Tea",2,-37.8035427334,144.9662515149,37,Lygon St (East)
126,Billy's - The Corner Takeaway Shop,4.3,Fish and Chips,2,-37.8036489612,144.966326952,37,Lygon St (East)
127,The Rattlesnake Saloon,0.0,"American, Italian",3,-37.803726314,144.9665411934,37,Lygon St (East)
128,Mad Hare,3.2,"Desserts, Patisserie",1,-37.8037252543,144.9662776664,37,Lygon St (East)
129,143 Italy,2.7,"Pizza, Grill",3,-37.8037567782,144.9662518501,37,Lygon St (East)
130,The Balcony,3.2,Drinks Only,3,-37.803802872,144.9662367627,37,Lygon St (East)
131,Pertutti,3.5,"Modern Australian, Italian",3,-37.8022597757,144.9668479711,37,Lygon St (East)
132,Universal Restaurant,4.4,"Italian, Modern Australian",3,-37.8038781054,144.9662401155,37,Lygon St (East)
133,La Spaghetteria Ristorante,2.3,Italian,3,-37.803980624,144.9665452167,37,Lygon St (East)
134,Da Guido La Pasta,4.0,Italian,4,-37.8040442014,144.9665401876,37,Lygon St (East)
135,Hakata Gensuke Yatai Ramen,4.2,"Ramen, Japanese",3,-37.8040955931,144.966520071,37,Lygon St (East)
136,Thai City,3.9,"Asian, Thai",3,-37.8041663228,144.9665049836,37,Lygon St (East)
137,Mercadante Woodfired Pizzeria,4.2,"Italian, Pizza",4,-37.8041202293,144.9662126228,37,Lygon St (East)
138,Đông Phûông,4.0,Vietnamese,3,-37.8041909589,144.966475144,37,Lygon St (East)
139,Lygon Charcoal Grill & Steakhouse,4.1,"Steak, Eastern European",4,-37.8042259264,144.9664761499,37,Lygon St (East)
140,Purple Peanuts Japanese Cafe,4.6,"Japanese, Sushi",2,-37.8188464377,144.9545490369,24,Spencer St-Collins St (North)
141,Perkup Cafe and Burger Bar,4.0,"Burger, Coffee and Tea",2,-37.818827898,144.954597652,24,Spencer St-Collins St (North)
142,Choix Creperie Café,4.1,"French, Cafe Food, Crepes, Desserts, Coffee and Tea",2,-37.8187489719,144.9545637891,24,Spencer St-Collins St (North)
143,Chick-in,4.2,"Korean, Fried Chicken",2,-37.8187050063,144.9546030164,24,Spencer St-Collins St (North)
144,Dumpling World 梅苑,2.5,"Chinese, Dumplings",3,-37.8187950563,144.9547850713,24,Spencer St-Collins St (North)
145,Krispy Kreme,3.9,Desserts,1,-37.8190808318,144.9547602609,24,Spencer St-Collins St (North)
146,Rice @ Collins 595,0.0,Asian,1,-37.8187664522,144.9548410624,24,Spencer St-Collins St (North)
147,Daniel's Donuts,3.9,"Bakery, Desserts, Coffee and Tea",1,-37.8187645982,144.9548440799,24,Spencer St-Collins St (North)
148,The Oak Room Restaurant & Bar - Quality Hotel Batman's Hill,0.0,Drinks Only,3,-37.8192352401,144.9544947222,24,Spencer St-Collins St (North)
149,Southern Xross Kebabs,2.8,Kebab,2,-37.8185799956,144.9541151896,24,Spencer St-Collins St (North)
150,Apna Desi,3.1,Indian,2,-37.8184279695,144.9542281777,24,Spencer St-Collins St (North)
151,Smoothme Superfood Bar,3.7,Juices,2,-37.8183885063,144.9543629587,24,Spencer St-Collins St (North)
152,Cafe Eurasia,3.0,"Asian, Coffee and Tea, Cafe Food",2,-37.8187110979,144.9551206827,24,Spencer St-Collins St (North)
153,Palm Sugar,3.4,Thai,3,-37.8190109109,144.9551689625,24,Spencer St-Collins St (North)
154,Espresso Bar International,0.0,Coffee and Tea,1,-37.8191425422,144.955107607,24,Spencer St-Collins St (North)
155,Espresso Hub,3.7,"Cafe Food, Coffee and Tea",2,-37.8193297919,144.9540082365,24,Spencer St-Collins St (North)
156,1882 The Clock Cafe,0.0,"Coffee and Tea, Cafe Food",1,-37.8188843116,144.953731969,24,Spencer St-Collins St (North)
157,Piccolo Me ,0.0,"Coffee and Tea, Cafe Food",1,-37.8183789715,144.9539737031,24,Spencer St-Collins St (North)
159,Platform 66 Public Bar - Batman's Hill on Collins,0.0,Bar Food,3,-37.8195776918,144.9545983225,24,Spencer St-Collins St (North)
160,HongKongBoi,3.9,"Asian, Desserts, Ice Cream",2,-37.8087495698,144.9593421444,51,QVM-Franklin St (North)
161,Ichigo,3.6,"Japanese, Cafe Food, Coffee and Tea",1,-37.8086573884,144.9595429748,51,QVM-Franklin St (North)
162,YOI,4.2,"Asian, Indonesian",2,-37.8088195004,144.9593857303,51,QVM-Franklin St (North)
163,Plus 852 Cafe,3.5,"Chinese, Coffee and Tea",3,-37.8088496976,144.9594195932,51,QVM-Franklin St (North)
164,Mary's,3.2,"Burger, Bar Food",3,-37.808952,144.959278,51,QVM-Franklin St (North)
165,Jojo Little Kitchen,4.1,Malaysian,2,-37.8089304886,144.9595439807,51,QVM-Franklin St (North)
166,Pelicana Chicken,3.2,"Korean, Fried Chicken",3,-37.8089945914,144.9595563859,51,QVM-Franklin St (North)
167,Daboba,4.1,Bubble Tea,1,-37.8090382979,144.9595104531,51,QVM-Franklin St (North)
168,Mala 1+1 (麻辣 1+1),3.5,"Chinese, Malatang",2,-37.8079186092,144.9600710347,51,QVM-Franklin St (North)
170,Sarawak Kitchen,4.2,"Chinese, Malaysian",2,-37.8079718524,144.9601300433,51,QVM-Franklin St (North)
171,Once For All,3.7,Bubble Tea,1,-37.8080364859,144.9601696059,51,QVM-Franklin St (North)
172,Sushi Hub,3.3,"Sushi, Japanese",3,-37.8078213938,144.9600666761,51,QVM-Franklin St (North)
173,Phancy Cafe,3.7,"Coffee and Tea, Cafe Food",2,-37.8091866349,144.9582082406,51,QVM-Franklin St (North)
174,The Borek Bakehouse,4.4,"Bakery, Middle Eastern",1,-37.8077111987,144.9600053206,51,QVM-Franklin St (North)
175,Invita,3.9,"Vegetarian, Coffee and Tea, Cafe Food",3,-37.8073935919,144.958909303,51,QVM-Franklin St (North)
176,Market Espresso,3.8,"Sandwich, Coffee and Tea, Cafe Food",1,-37.8080619154,144.9578106031,51,QVM-Franklin St (North)
177,Malaysian Laksa House,3.8,Malaysian,3,-37.8085646772,144.9603898823,51,QVM-Franklin St (North)
178,Pondok Rempah,3.6,Indonesian,3,-37.8075575609,144.9599235132,51,QVM-Franklin St (North)
179,Hero Tang Tea 黑泷堂,3.4,"Bubble Tea, Tea, Beverages",1,-37.8087093067,144.9604592845,51,QVM-Franklin St (North)
180,Shandong Mama,4.3,"Chinese, Dumplings",3,-37.8125821453,144.9673267454,21,Bourke St-Russell St (West)
183,Pinchy's,4.1,Seafood,3,-37.8128449008,144.9674578384,21,Bourke St-Russell St (West)
185,Udon Izakaya Maedaya,4.2,Japanese,3,-37.8127039877,144.9683406204,21,Bourke St-Russell St (West)
186,Mr. Ramen San,4.5,"Japanese, Ramen",3,-37.8122041678,144.9671778828,21,Bourke St-Russell St (West)
187,Royal Custard Puff,3.5,Bakery,1,-37.812158609,144.9672020227,21,Bourke St-Russell St (West)
188,Hub Express,3.5,"Kebab, Coffee and Tea",1,-37.8129688618,144.9680120498,21,Bourke St-Russell St (West)
192,White Tomato,4.2,"Korean BBQ, Korean",3,-37.8126714081,144.9684998766,21,Bourke St-Russell St (West)
193,Thai Tide,3.8,Thai,3,-37.8127953694,144.9684177339,21,Bourke St-Russell St (West)
195,Dainty Sichuan - Lucky Skewers Hot Pot,2.8,"Hot Pot, Sichuan",3,-37.8129299253,144.9672600254,21,Bourke St-Russell St (West)
197,House of Delight  家宴食府 - CBD,3.5,"Chinese, Yum Cha, Hot Pot",3,-37.8126838572,144.9670139328,21,Bourke St-Russell St (West)
198,Nana Thai Style Hotpot & BBQ,3.6,"Thai, BBQ, Hot Pot",1,-37.8127108744,144.9685803428,21,Bourke St-Russell St (West)
199,KFC,2.8,"Fast Food, Fried Chicken",2,-37.8130790491,144.9674558267,21,Bourke St-Russell St (West)
206,Aix Café Creperie Salon,4.2,"French, Crepes, Coffee and Tea, Cafe Food",2,-37.8164394189,144.9654833973,53,Collins Street (North)
207,The Charles Dickens Tavern,3.8,Pub Food,4,-37.815619934,144.9644815922,53,Collins Street (North)
208,Barbarella Gelato & Wine,3.9,"Cafe Food, Desserts, Coffee and Tea",2,-37.8155463017,144.9644624814,53,Collins Street (North)
209,La Crēperie Saint-Germain,3.4,"French, Crepes",3,-37.8155174315,144.9644142017,53,Collins Street (North)
210,Brown Sugar Café,3.7,"Continental, Coffee and Tea, Cafe Food",3,-37.8154273775,144.9643947557,53,Collins Street (North)
212,Vicolino,3.0,"Mediterranean, Coffee and Tea, Cafe Food",3,-37.8165427147,144.9654535577,53,Collins Street (North)
213,Jungle Juice,4.5,"Coffee and Tea, Cafe Food",3,-37.8165519848,144.9655346945,53,Collins Street (North)
214,30 Block Place,3.6,"Mediterranean, Cafe Food, Coffee and Tea",3,-37.8153285829,144.9644125253,53,Collins Street (North)
215,Hell's Kitchen,4.0,"BBQ, American",3,-37.8165567523,144.9655390531,53,Collins Street (North)
218,B3 Café,4.2,"Bakery, Sandwich",1,-37.8165684061,144.965496473,53,Collins Street (North)
219,Euro Lane Cafe,2.5,"Coffee and Tea, Cafe Food",3,-37.8165861518,144.965560846,53,Collins Street (North)
220,Cabinet Bar & Balcony,4.3,"Bar Food, Modern Australian",4,-37.8141732322,144.9663919956,4,Town Hall (West)
222,Rozzi's Italian Canteen,3.0,"Cafe Food, Italian",2,-37.8141165501,144.965801239,4,Town Hall (West)
223,Mister Munro,3.0,Modern Australian,4,-37.8143573161,144.9668895453,4,Town Hall (West)
225,Pink. The Restaurant,2.2,Italian,4,-37.8140696682,144.9657834694,4,Town Hall (West)
226,OK Chicken (Warra Warra Kitchen),4.5,"Fried Chicken, Korean, Asian",3,-37.8141003931,144.9665167183,4,Town Hall (West)
230,Salero Kito Padang,4.0,Indonesian,2,-37.8140307324,144.9666860327,4,Town Hall (West)
232,Taste Hunan 湘遇湖南菜,3.3,Chinese,3,-37.8140121915,144.9667383358,4,Town Hall (West)
240,Shoji,2.7,"Japanese, Sushi",2,-37.8201108327,144.9663588032,35,Southbank
241,Asado,4.3,"Argentine, BBQ, Spanish",4,-37.8208976918,144.9641986191,35,Southbank
242,In A Rush,3.3,"Indian, Coffee and Tea",2,-37.8206214578,144.9662716314,35,Southbank
243,Chatime,3.4,"Bubble Tea, Beverages",1,-37.8200856721,144.9664416164,35,Southbank
244,Red Emperor,4.2,"Asian, Chinese, Yum Cha",4,-37.820183401,144.9664570391,35,Southbank
245,Rhumbas,2.8,"Sandwich, Burger",2,-37.8202610014,144.9665314704,35,Southbank
246,Muffin Break,2.9,"Coffee and Tea, Bakery, Sandwich",2,-37.8201505599,144.96656131,35,Southbank
247,Miyako Japanese Cuisine & Teppanyaki,4.4,"Japanese, Sushi, Teppanyaki",4,-37.8201542678,144.9665619806,35,Southbank
248,Arbory Afloat,4.0,Latin American,4,-37.8192945668,144.9660875648,35,Southbank
249,Big Café,2.8,"Fast Food, Italian, Pizza",2,-37.8201627429,144.9666065723,35,Southbank
250,Arbory Bar and Eatery,4.3,Modern Australian,3,-37.8191706164,144.9659276381,35,Southbank
251,Eat Sandwich Co.,0.0,"Sandwich, Burger, American",2,-37.820176515,144.9666411057,35,Southbank
253,La Camera Southgate,4.2,"Italian, Pizza",3,-37.8200840831,144.9666981027,35,Southbank
254,Dagwood Deli,3.9,"Coffee and Tea, Cafe Food",2,-37.8209453639,144.9637372792,35,Southbank
255,Roll'd - Southbank,2.6,"Vietnamese, Healthy Food",2,-37.8201362581,144.9667728692,35,Southbank
256,DOC Pizza & Mozzarella Bar - Southbank,3.9,"Italian, Pizza",3,-37.8210973848,144.9638599902,35,Southbank
257,Hopscotch,3.5,"Modern Australian, Bar Food",3,-37.8207305744,144.9635277316,35,Southbank
258,Belgian Beer Café Melbourne,4.2,"Pub Food, Belgian, Australian",3,-37.8214080467,144.9643049017,35,Southbank
259,Eureka 89,4.4,Modern Australian,4,-37.8215613908,144.9649938941,35,Southbank
260,Momo Sukiyaki & Shabu Shabu,3.8,Japanese,3,-37.8115009177,144.9689806625,20,Chinatown-Lt Bourke St (South)
262,Minh Xuong Seafood & BBQ,3.2,"Chinese, BBQ",2,-37.8116532229,144.9674293399,20,Chinatown-Lt Bourke St (South)
263,The Croft Institute,4.1,Drinks Only,3,-37.811906711,144.9690390006,20,Chinatown-Lt Bourke St (South)
266,Playground,0.0,Bar Food,1,-37.8110707532,144.9683201686,20,Chinatown-Lt Bourke St (South)
267,Gyoza Gyoza - Little Bourke,4.2,"Japanese, Dumplings",3,-37.8114746947,144.9690242484,20,Chinatown-Lt Bourke St (South)
275,Famous Hotpot & BBQ,3.8,"Chinese, Hot Pot",3,-37.8114640996,144.9690728635,20,Chinatown-Lt Bourke St (South)
276,Sweetie & Moustache Dessert Lounge,2.1,Desserts,2,-37.8116471307,144.9673539028,20,Chinatown-Lt Bourke St (South)
278,Sichuan House,4.5,"Asian, Chinese, Sichuan",3,-37.8109904944,144.9682665244,20,Chinatown-Lt Bourke St (South)
281,No35,4.4,"Contemporary, European, French",4,-37.814177735,144.9728671834,34,Flinders St-Spark La
282,Asian Pavilion,2.9,Asian,2,-37.8143599648,144.9726341665,34,Flinders St-Spark La
283,The Bar at Kino Cinema,3.5,Bar Food,3,-37.8142934827,144.9726800993,34,Flinders St-Spark La
285,Petit Cafe,0.0,"Coffee and Tea, Cafe Food",1,-37.8157658739,144.9721242115,34,Flinders St-Spark La
286,Mugs Alley,3.9,Cafe Food,3,-37.8162084596,144.975952059,34,Flinders St-Spark La
287,Vacation Coffee,4.1,Coffee and Tea,2,-37.8159594889,144.9721560627,34,Flinders St-Spark La
288,Roozervelts,3.2,"Juices, Coffee and Tea, Cafe Food",2,-37.8143573161,144.9724554643,34,Flinders St-Spark La
289,Rush Sushi,3.3,"Fast Food, Japanese, Sushi",1,-37.8144976963,144.9723310769,34,Flinders St-Spark La
290,The Fair Trader,3.9,"Coffee and Tea, Cafe Food",3,-37.8155513341,144.9720055237,34,Flinders St-Spark La
291,Top Juice,3.4,"Beverages, Healthy Food, Salad",2,-37.8145318643,144.9722610042,34,Flinders St-Spark La
292,Bon,3.3,"Coffee and Tea, Cafe Food, Sandwich",2,-37.8159865049,144.9720903486,34,Flinders St-Spark La
293,Bean Republic,3.3,"Coffee and Tea, Sandwich, Cafe Food",1,-37.8143483106,144.9722868204,34,Flinders St-Spark La
294,Uncle Collins Street,4.0,Vietnamese,4,-37.8137028229,144.9733245,34,Flinders St-Spark La
295,Howitt House,3.6,"Cafe Food, Coffee and Tea, Sandwich",1,-37.8135921067,144.973744601,34,Flinders St-Spark La
296,Laneway Greens,3.0,Healthy Food,2,-37.8147143581,144.9719978124,34,Flinders St-Spark La
297,Mamasita,4.4,"Latin American, Mexican",4,-37.8136270697,144.9734364823,34,Flinders St-Spark La
300,Kazuki's,3.8,"Japanese, Contemporary",4,-37.8041840714,144.9661938474,37,Lygon St (East)
301,Confucius Says...,3.7,Chinese,3,-37.8042895036,144.9664577097,37,Lygon St (East)
302,Il Dolce Freddo,4.7,Desserts,1,-37.8043128152,144.9664590508,37,Lygon St (East)
303,Casa Del Gelato,4.2,"Desserts, Ice Cream",1,-37.8018708838,144.9665767327,37,Lygon St (East)
305,Little Lygon Bar and Grill,2.2,"Italian, Steak",4,-37.8018330012,144.9669167027,37,Lygon St (East)
306,Killiney Kopitiam,3.9,"Asian, Singaporean, Malaysian",3,-37.8043877832,144.9664748088,37,Lygon St (East)
307,Stuzzichino,3.4,"Italian, Cafe Food",3,-37.8017471691,144.9666236714,37,Lygon St (East)
308,D’penyetz D’cendol,3.9,"Indonesian, Malaysian",2,-37.8044534794,144.9664724618,37,Lygon St (East)
309,Ying Thai 2,4.4,Thai,3,-37.8044812943,144.9664647505,37,Lygon St (East)
310,Chinese Kitchen,0.0,Chinese,3,-37.8017188234,144.9669391662,37,Lygon St (East)
311,Carlton Curry House,4.0,"Indian, Burmese",3,-37.8045173213,144.9664664268,37,Lygon St (East)
312,Hwatu 花鬪 화투,3.7,"Korean, Asian",3,-37.8016687546,144.9666186422,37,Lygon St (East)
313,Saigon Pho,4.1,"Vietnamese, Pho",2,-37.8045369242,144.966455698,37,Lygon St (East)
314,MIXITY Restaurant And Cafe,3.7,Iranian,3,-37.8016523299,144.9665743858,37,Lygon St (East)
315,10000WON Korean Fried Chicken 만원치킨,3.6,"Korean, Fried Chicken",3,-37.8016221297,144.9666323885,37,Lygon St (East)
316,Chocolateria San Churro,3.7,"Beverages, Coffee and Tea, Desserts, Spanish",3,-37.8016019962,144.9666206539,37,Lygon St (East)
317,Flavours of Indus,3.4,Indian,3,-37.8045959977,144.9664345756,37,Lygon St (East)
318,La Spaghettata,4.3,"Italian, Seafood, Crepes, Parma",3,-37.8016006716,144.9669995159,37,Lygon St (East)
319,Piccolo Mondo,3.7,Italian,4,-37.8015545765,144.9670078978,37,Lygon St (East)
320,Chiko Chip Shop,3.0,Fast Food,1,-37.8186949419,144.953603223,24,Spencer St-Collins St (North)
322,Papa Sushi,3.0,"Sushi, Japanese",1,-37.8187020929,144.9535566196,24,Spencer St-Collins St (North)
324,Grill'd - Southern Cross,3.5,Burger,2,-37.8189306607,144.9535183981,24,Spencer St-Collins St (North)
326,Hungry Jacks,0.0,"Fast Food, Burger",2,-37.8190217698,144.9534419552,24,Spencer St-Collins St (North)
327,Inzone Cafe,3.1,"Coffee and Tea, Cafe Food",2,-37.8180219472,144.9544159323,24,Spencer St-Collins St (North)
328,Miss Siam Melbourne,3.1,Thai,2,-37.8185736391,144.9555357546,24,Spencer St-Collins St (North)
329,Stockroom567,3.3,"European, French, Italian",3,-37.8191338021,144.9555893987,24,Spencer St-Collins St (North)
330,Restaurant 1903,2.9,Modern Australian,4,-37.8198208236,144.9547183514,24,Spencer St-Collins St (North)
331,Royale Pizza,3.5,Pizza,2,-37.8198258557,144.9547180161,24,Spencer St-Collins St (North)
333,Come Back to Earth Coffee Brewer,3.9,"Cafe Food, Coffee and Tea",1,-37.8178746874,144.9546767771,24,Spencer St-Collins St (North)
334,Sul Hwa Ice Flakes,4.1,Korean,1,-37.8179064702,144.9548762664,24,Spencer St-Collins St (North)
335,BrimCC,4.6,Japanese,2,-37.8178720389,144.9548001587,24,Spencer St-Collins St (North)
336,Spudbar,3.3,"Healthy Food, Fast Food, Salad",2,-37.8192005446,144.9557479844,24,Spencer St-Collins St (North)
337,The Alexander Bar,0.0,"European, Coffee and Tea",4,-37.8179223615,144.9539569393,24,Spencer St-Collins St (North)
338,Spicy Korea,3.9,Korean,3,-37.8178593258,144.954867214,24,Spencer St-Collins St (North)
340,Menya Ramen - Elizabeth Street,3.8,"Japanese, Ramen",3,-37.8087498347,144.9604448676,51,QVM-Franklin St (North)
341,American Doughnut Kitchen,4.5,Desserts,1,-37.8074648483,144.9582578614,51,QVM-Franklin St (North)
342,Happy Lemon - Elizabeth Street,3.9,"Coffee and Tea, Beverages",1,-37.8080248307,144.9604512379,51,QVM-Franklin St (North)
343,Jasper Kitchen & Bar,3.5,Modern Australian,4,-37.8074105451,144.9598118663,51,QVM-Franklin St (North)
344,Rose Garden BBQ,4.6,"Chinese, BBQ",2,-37.8088110239,144.9604656547,51,QVM-Franklin St (North)
345,David's Spicy Pot大味麻辣烫 - Elizabeth Street,4.4,"Chinese, Malatang",3,-37.8079175496,144.9604297802,51,QVM-Franklin St (North)
